31	31	побочный продукт (§2)	отброшенный стенд-ап блока CODE-REPO-STANDUP-2NDSTEP-GEN; сам стенд-ап давно заменён, текст признаёт устаревание в себе
33	33	предмет закрыт (§3)	запись о генерации брифа; бриф briefs/CODE-REPO-STANDUP-2NDSTEP.md жив, шаг 2a исполнен
35	35	предмет закрыт (§3)	PARITY-SALES-DISCRIMINATE в 07_ARCHIVE; гипотезы H1-H4 закрыты ADR-100/ADR-103; артефакт жив
39	39	предмет закрыт (§3)	запись о генерации брифа PARITY-SALES-DISCRIMINATE-GEN; задача в 07_ARCHIVE
51	51	предмет закрыт (§3)	проход сборки ADR-LANDING-0730 исполнен и проверен; LS-QUERY-SNAPSHOT в 07_ARCHIVE; строка мандата убрана STATE-COMPACT
53	53	предмет закрыт (§3)	PIPE-BASE-SYNC и Q-89 в 07_ARCHIVE
55	55	предмет закрыт (§3)	PIPE-BASE-SYNC и Q-89 в 07_ARCHIVE
57	57	предмет закрыт (§3)	Q-90 в 07_ARCHIVE
59	59	предмет закрыт (§3)	REPORT-FIELDS в 07_ARCHIVE; ограничения замера продублированы живыми абзацами (стр.79, стр.361)
63	63	предмет закрыт (§3)	протокол архивации SOURCE-MAP-INVOICES; строка в 07_ARCHIVE
65	65	предмет закрыт (§3)	STATE-COMPACT в 07_ARCHIVE; все перечисленные строки архивированы
67	67	предмет закрыт (§3)	запись о генерации брифа STATE-COMPACT-GEN; задача в 07_ARCHIVE
71	71	предмет закрыт (§3)	REPORT-FIELDS в 07_ARCHIVE; границы замера зоны moment продублированы стр.79 и стр.361
75	75	предмет закрыт (§3)	дефект маркера последствий пойман и исправлен до применения; PARITY-CHECK-SALES-RETURNS заведена
77	77	предмет закрыт (§3)	PARITY-SCD2-ATTRIBUTION в 07_ARCHIVE; ADR-089 принят
85	85	предмет закрыт (§3)	Q-95 и DEPLOY-REVISION-PROBE в 07_ARCHIVE
87	87	побочный продукт (§2)	процессное наблюдение; тот же класс переучтён стр.367 (третий инстанс) с выводом
89	89	предмет закрыт (§3)	DEPLOY-REVISION-PROBE и Q-95 в 07_ARCHIVE; оговорка ADR-094 §4 разрешена шагом 2a (стр.325)
91	91	предмет закрыт (§3)	Q-96 в 07_ARCHIVE; гипотеза о ежесуточном пересчёте опровергнута стр.95
93	93	предмет закрыт (§3)	ADR-096 принят, модели закреплены в файлах ролей; строки в реестре нет
95	95	предмет закрыт (§3)	E1-T3-MECH-FX в 07_ARCHIVE; Q-97 полностью несёт своя строка реестра (07_STATE.md:550)
99	99	предмет закрыт (§3)	Q-100 в 07_ARCHIVE (ADR-099)
101	101	предмет закрыт (§3)	запись о генерации брифа INFRA-FACTS-SWEEP-GEN; задача в 07_ARCHIVE
103	131	предмет закрыт (§3)	Q-98 в 07_ARCHIVE (CLOSED, ADR-104); ловушка досева продублирована стр.298 (R2) и строкой SALES-REFRESH-WINDOW
133	148	предмет закрыт (§3)	Q-99 в 07_ARCHIVE (ADR-098); дефект has_basis несёт открытая строка Q-101
150	167	предмет закрыт (§3)	Q-100 в 07_ARCHIVE (ADR-099)
195	206	предмет закрыт (§3)	блок (1) триажа отработан: Q-88 и Q-91 в 07_ARCHIVE, Q-92 переклассифицирован ADR-101 (стр.357)
219	224	предмет закрыт (§3)	блок (3) триажа отработан: политика принята, задача METHOD-PROMOTE-LOCAL-RULES заведена
231	233	предмет закрыт (§3)	PARITY-SALES-DISCRIMINATE в 07_ARCHIVE; подготовка SALES-REFRESH-WINDOW закрыта
311	311	предмет закрыт (§3)	H4 опровергнута, H1 подтверждена ADR-103; вопрос гипотез закрыт
313	313	предмет закрыт (§3)	подтверждающий замер SALES-ORPHAN-CONFIRM исполнен, в 07_ARCHIVE
319	319	предмет закрыт (§3)	шаг 2 исполнен, PARITY-SALES-DISCRIMINATE в 07_ARCHIVE
321	321	побочный продукт (§2)	процессное наблюдение сборки; обе ветки слиты тем же проходом
323	323	побочный продукт (§2)	отброшенный стенд-ап блока CODE-REPO-STANDUP-2NDSTEP
329	329	побочный продукт (§2)	отброшенный стенд-ап блока SALES-ORPHAN-CONFIRM
331	331	предмет закрыт (§3)	SALES-ORPHAN-CONFIRM и Q-103 в 07_ARCHIVE
335	335	побочный продукт (§2)	служебное примечание к стенд-апу, который с тех пор заменён дважды
337	337	предмет закрыт (§3)	запись о генерации брифа шага 2; PARITY-SALES-DISCRIMINATE в 07_ARCHIVE
341	341	побочный продукт (§2)	служебное примечание к стенд-апу, который с тех пор заменён
345	345	предмет закрыт (§3)	PARITY-SALES-DISCRIMINATE в 07_ARCHIVE; расхождение 6 документов объяснено стр.369-385
349	349	предмет закрыт (§3)	Q-103 в 07_ARCHIVE (ADR-101 п.1)
363	363	побочный продукт (§2)	процессное наблюдение сборки; ADR-101 §8 принят, правка _ASSEMBLER пришла
387	387	побочный продукт (§2)	отброшенный стенд-ап блока PARALLEL-CHECK-NO-BRIEF
411	411	побочный продукт (§2)	отброшенный стенд-ап блока PARITY-SALES-H1H4-ADJ
